pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 64
number of threads: 8
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 686746
number of failed transactions: 0 (0.000%)
latency average = 0.916 ms
initial connection time = 200.050 ms
tps = 69856.594537 (without initial connection time)
===LOGS===
5 5 190 0 1788863518 668720
3 4 1377 0 1788863518 674017
1 16 254 0 1788863518 674066
5 13 10118 0 1788863518 683983
6 7 9876 0 1788863518 683993
6 16 141 0 1788863518 689470
1 29 226 0 1788863518 689723
5 27 320 0 1788863518 690633
2 7 3055 0 1788863518 691906
1 41 335 0 1788863518 692658
5 43 0 0 1788863518 695809
4 12 684 0 1788863518 695905
6 34 206 0 1788863518 696984
0 53 215 0 1788863518 697013
2 13 268 0 1788863518 697207
3 15 1053 0 1788863518 697213
4 14 1199 0 1788863518 698560
0 73 217 0 1788863518 707309
5 69 239 0 1788863518 710570
0 81 339 0 1788863518 710880
5 73 493 0 1788863518 712683
1 78 316 0 1788863518 713029
5 81 528 0 1788863518 716200
6 73 2260 0 1788863518 720048
3 29 649 0 1788863518 724065
6 80 184 0 1788863518 732615
2 50 223 0 1788863518 734255
4 32 282 0 1788863518 734807
1 123 115 0 1788863518 738199
7 34 535 0 1788863518 738779
3 50 372 0 1788863518 739319
6 105 327 0 1788863518 741618
6 107 383 0 1788863518 742447
2 68 199 0 1788863518 742982
1 141 0 0 1788863518 744822
1 142 90 0 1788863518 744955
5 105 92 0 1788863518 745074
6 116 148 0 1788863518 745080
2 77 509 0 1788863518 745955
1 153 112 0 1788863518 746892
2 81 341 0 1788863518 747008
2 82 78 0 1788863518 747120
2 83 110 0 1788863518 747253
1 164 195 0 1788863518 749004
0 185 98 0 1788863518 750089
6 140 141 0 1788863518 750345
1 169 373 0 1788863518 750721
5 134 0 0 1788863518 752933
0 197 96 0 1788863518 753072
2 103 2327 0 1788863518 755635
6 154 525 0 1788863518 755728
5 141 352 0 1788863518 756384
2 118 123 0 1788863518 757747
1 191 136 0 1788863518 758684
1 203 134 0 1788863518 760882
3 78 874 0 1788863518 761791
4 97 380 0 1788863518 761799
2 136 112 0 1788863518 762215
2 144 126 0 1788863518 764869
1 216 1071 0 1788863518 765704
0 253 202 0 1788863518 766261
6 201 205 0 1788863518 766983
0 260 114 0 1788863518 767451
2 161 0 0 1788863518 769138
2 172 71 0 1788863518 770733
2 179 95 0 1788863518 771722
2 193 148 0 1788863518 773654
2 200 240 0 1788863518 774779
1 248 296 0 1788863518 775436
5 203 269 0 1788863518 776165
5 205 318 0 1788863518 776750
1 258 311 0 1788863518 778175
5 210 314 0 1788863518 778256
1 263 276 0 1788863518 779651
5 220 365 0 1788863518 781433
4 143 496 0 1788863518 782473
2 256 305 0 1788863518 783026
2 283 158 0 1788863518 789274
7 87 822 0 1788863518 789543
2 295 161 0 1788863518 790879
4 156 766 0 1788863518 791678
2 306 179 0 1788863518 792536
2 311 156 0 1788863518 793217
1 307 311 0 1788863518 794027
2 323 124 0 1788863518 794853
1 313 302 0 1788863518 795782
7 97 748 0 1788863518 796991
5 270 150 0 1788863518 797431
4 166 312 0 1788863518 799783
1 337 229 0 1788863518 800697
1 338 174 0 1788863518 800874
5 294 169 0 1788863518 802787
2 359 84 0 1788863518 803046
3 123 658 0 1788863518 803121
5 296 145 0 1788863518 803127
4 176 605 0 1788863518 807088
3 130 1243 0 1788863518 808680
2 380 0 0 1788863518 809172
4 182 870 0 1788863518 812018
2 402 0 0 1788863518 812823
1 377 1017 0 1788863518 812873
1 383 619 0 1788863518 816188
2 418 166 0 1788863518 819944
6 225 2584 0 1788863518 825411
5 338 254 0 1788863518 825469
7 132 451 0 1788863518 825942
3 156 1652 0 1788863518 827710
4 201 2565 0 1788863518 828639
4 203 855 0 1788863518 829953
6 227 2583 0 1788863518 829965
5 348 492 0 1788863518 832872
2 452 270 0 1788863518 834968
3 169 545 0 1788863518 836102
0 287 2097 0 1788863518 836777
6 231 2035 0 1788863518 839490
2 486 1051 0 1788863518 852048
7 164 999 0 1788863518 852068
2 488 95 0 1788863518 853130
4 241 640 0 1788863518 854923
1 445 648 0 1788863518 856313
4 245 636 0 1788863518 857874
2 501 926 0 1788863518 860566
2 513 276 0 1788863518 864868
1 462 304 0 1788863518 865626
7 182 256 0 1788863518 866565
5 390 166 0 1788863518 867147
1 468 239 0 1788863518 867824
1 471 1351 0 1788863518 871308
7 188 601 0 1788863518 871652
1 479 393 0 1788863518 874234
3 224 6147 0 1788863518 877803
3 225 573 0 1788863518 878389
7 190 622 0 1788863518 878401
5 413 614 0 1788863518 879830
3 229 553 0 1788863518 880426
1 491 1091 0 1788863518 880925
3 233 239 0 1788863518 882334
6 290 529 0 1788863518 882680
6 292 612 0 1788863518 883790
3 239 2001 0 1788863518 886714
4 278 521 0 1788863518 887335
2 570 147 0 1788863518 887624
2 572 484 0 1788863518 889256
2 574 134 0 1788863518 889719
4 282 1160 0 1788863518 892726
1 516 143 0 1788863518 893313
3 248 660 0 1788863518 895814
4 288 915 0 1788863518 897464
6 308 397 0 1788863518 898128
4 290 314 0 1788863518 898450
4 291 969 0 1788863518 899446
1 536 389 0 1788863518 900730
0 321 1109 0 1788863518 901426
5 459 507 0 1788863518 902313
4 296 956 0 1788863518 904839
6 316 1710 0 1788863518 905850
4 298 1060 0 1788863518 906989
0 325 1432 0 1788863518 907904
5 472 464 0 1788863518 909261
5 480 373 0 1788863518 913789
6 327 582 0 1788863518 915878
1 572 465 0 1788863518 918226
2 643 414 0 1788863518 918443
5 489 298 0 1788863518 919179
7 236 904 0 1788863518 919633
3 281 560 0 1788863518 922568
1 585 336 0 1788863518 922909
3 289 0 0 1788863518 928079
1 607 302 0 1788863518 929127
0 336 2032 0 1788863518 930449
4 338 265 0 1788863518 932531
2 684 205 0 1788863518 933672
2 685 476 0 1788863518 934172
1 631 510 0 1788863518 935637
3 309 498 0 1788863518 935645
5 550 130 0 1788863518 937858
4 360 486 0 1788863518 940835
5 567 265 0 1788863518 942823
6 351 334 0 1788863518 942911
6 353 558 0 1788863518 943923
1 674 275 0 1788863518 946119
6 360 225 0 1788863518 947025
3 345 331 0 1788863518 948660
3 347 370 0 1788863518 949320
3 350 358 0 1788863518 950467
5 597 124 0 1788863518 950550
5 599 0 0 1788863518 950885
3 351 447 0 1788863518 950919
4 386 404 0 1788863518 951389
1 692 292 0 1788863518 951689
3 357 385 0 1788863518 952662
