pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 8
number of threads: 8
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 792019
number of failed transactions: 0 (0.000%)
latency average = 0.101 ms
initial connection time = 23.224 ms
tps = 79383.266950 (without initial connection time)
===LOGS===
0 982 0 0 1788646225 293315
0 985 0 0 1788646225 293588
0 986 0 0 1788646225 293676
0 990 0 0 1788646225 294002
0 1002 0 0 1788646225 294881
0 1005 0 0 1788646225 295088
0 1014 0 0 1788646225 295708
0 1017 0 0 1788646225 295922
0 1021 0 0 1788646225 296208
0 1031 0 0 1788646225 296952
0 1032 0 0 1788646225 297029
0 1035 0 0 1788646225 297232
0 1036 0 0 1788646225 297302
0 1037 0 0 1788646225 297366
0 1048 0 0 1788646225 298118
0 1052 0 0 1788646225 298404
0 1057 0 0 1788646225 298755
0 1058 0 0 1788646225 298829
0 1070 0 0 1788646225 299874
0 1080 0 0 1788646225 300599
0 1081 0 0 1788646225 300667
0 1085 72 0 1788646225 301074
0 1086 71 0 1788646225 301148
0 1099 0 0 1788646225 302784
0 1101 0 0 1788646225 302924
0 1115 0 0 1788646225 303955
0 1120 0 0 1788646225 304445
0 1126 0 0 1788646225 305582
0 1134 0 0 1788646225 306260
0 1138 0 0 1788646225 306543
0 1139 0 0 1788646225 306614
0 1140 0 0 1788646225 306685
0 1159 85 0 1788646225 308105
0 1160 0 0 1788646225 308186
0 1162 0 0 1788646225 308340
0 1168 0 0 1788646225 308820
0 1169 0 0 1788646225 308900
0 1171 0 0 1788646225 309068
0 1177 0 0 1788646225 309476
0 1179 0 0 1788646225 309609
0 1180 0 0 1788646225 309675
0 1189 0 0 1788646225 310312
0 1194 0 0 1788646225 310668
0 1196 0 0 1788646225 310819
0 1198 0 0 1788646225 310969
0 1201 0 0 1788646225 311173
0 1202 0 0 1788646225 311242
0 1208 0 0 1788646225 311708
0 1212 0 0 1788646225 311998
0 1241 0 0 1788646225 314049
0 1249 66 0 1788646225 314580
0 1254 0 0 1788646225 315009
0 1273 71 0 1788646225 317393
0 1274 74 0 1788646225 317471
0 1275 74 0 1788646225 317548
0 1276 74 0 1788646225 317624
0 1280 73 0 1788646225 317927
0 1286 76 0 1788646225 318393
0 1291 83 0 1788646225 318790
0 1298 0 0 1788646225 319321
0 1299 74 0 1788646225 319398
0 1301 70 0 1788646225 319543
0 1303 71 0 1788646225 319688
0 1306 71 0 1788646225 319911
0 1312 71 0 1788646225 320345
0 1316 72 0 1788646225 320634
0 1332 77 0 1788646225 321781
0 1343 74 0 1788646225 322571
0 1345 75 0 1788646225 322721
0 1348 71 0 1788646225 322942
0 1349 72 0 1788646225 323016
0 1351 73 0 1788646225 323164
0 1366 69 0 1788646225 324199
0 1370 69 0 1788646225 324505
0 1376 0 0 1788646225 324929
0 1385 0 0 1788646225 325675
0 1387 0 0 1788646225 325875
0 1393 110 0 1788646225 326500
0 1401 0 0 1788646225 327168
0 1404 70 0 1788646225 327401
0 1411 70 0 1788646225 327874
0 1420 73 0 1788646225 328608
0 1434 70 0 1788646225 329608
0 1436 76 0 1788646225 329757
0 1439 72 0 1788646225 329978
0 1447 73 0 1788646225 330559
0 1452 67 0 1788646225 330928
0 1464 130 0 1788646225 331800
0 1476 0 0 1788646225 332656
0 1494 0 0 1788646225 333876
0 1505 0 0 1788646225 334605
0 1506 0 0 1788646225 334671
0 1509 0 0 1788646225 334879
0 1514 0 0 1788646225 335226
0 1516 0 0 1788646225 335366
0 1518 0 0 1788646225 335505
0 1519 0 0 1788646225 335575
0 1522 0 0 1788646225 335823
0 1524 0 0 1788646225 335966
0 1526 0 0 1788646225 336108
0 1528 0 0 1788646225 336248
0 1534 0 0 1788646225 336666
0 1535 0 0 1788646225 336741
0 1554 0 0 1788646225 338138
0 1557 0 0 1788646225 338354
0 1561 0 0 1788646225 338640
0 1570 0 0 1788646225 339282
0 1571 0 0 1788646225 339353
0 1583 0 0 1788646225 340213
0 1589 0 0 1788646225 340645
0 1590 0 0 1788646225 340723
0 1602 83 0 1788646225 341627
0 1610 0 0 1788646225 342189
0 1614 74 0 1788646225 342488
0 1616 0 0 1788646225 342633
0 1631 0 0 1788646225 343764
0 1638 0 0 1788646225 344247
0 1639 0 0 1788646225 344313
0 1641 0 0 1788646225 344441
0 1646 0 0 1788646225 344768
0 1647 0 0 1788646225 344835
0 1665 0 0 1788646225 346060
0 1669 0 0 1788646225 346342
0 1677 0 0 1788646225 346902
0 1678 0 0 1788646225 346965
0 1679 0 0 1788646225 347032
0 1681 0 0 1788646225 347161
0 1689 0 0 1788646225 347680
0 1692 0 0 1788646225 347903
0 1708 0 0 1788646225 349364
0 1709 0 0 1788646225 349442
0 1710 0 0 1788646225 349518
0 1711 0 0 1788646225 349610
0 1714 0 0 1788646225 349848
0 1723 0 0 1788646225 350478
0 1724 0 0 1788646225 350551
0 1728 0 0 1788646225 350923
0 1736 0 0 1788646225 351478
0 1738 0 0 1788646225 351625
0 1750 99 0 1788646225 352521
0 1756 0 0 1788646225 352954
0 1760 0 0 1788646225 353229
0 1763 70 0 1788646225 353435
0 1771 0 0 1788646225 354017
0 1775 0 0 1788646225 354310
0 1778 0 0 1788646225 354531
0 1782 0 0 1788646225 354826
0 1786 0 0 1788646225 355091
0 1787 0 0 1788646225 355158
0 1792 0 0 1788646225 355489
0 1801 0 0 1788646225 356091
0 1808 0 0 1788646225 356556
0 1812 0 0 1788646225 356850
0 1813 0 0 1788646225 356920
0 1816 0 0 1788646225 357126
0 1819 0 0 1788646225 357332
0 1820 0 0 1788646225 357402
0 1834 0 0 1788646225 358420
0 1851 0 0 1788646225 359615
0 1852 0 0 1788646225 359695
0 1855 0 0 1788646225 359936
0 1856 0 0 1788646225 360015
0 1874 0 0 1788646225 361327
0 1877 0 0 1788646225 361519
0 1880 0 0 1788646225 361710
0 1881 0 0 1788646225 361781
0 1890 69 0 1788646225 362393
0 1892 71 0 1788646225 362538
0 1897 141 0 1788646225 362979
0 1908 70 0 1788646225 364234
0 1914 68 0 1788646225 364648
0 1916 72 0 1788646225 364796
0 1934 0 0 1788646225 366107
0 1938 0 0 1788646225 366458
0 1944 0 0 1788646225 366878
0 1945 0 0 1788646225 366948
0 1947 0 0 1788646225 367087
0 1959 70 0 1788646225 367920
0 1974 71 0 1788646225 368899
0 1975 69 0 1788646225 368971
0 1979 3516 0 1788646225 372696
0 1980 120 0 1788646225 372820
0 1982 0 0 1788646225 372970
0 1984 0 0 1788646225 373112
0 1985 0 0 1788646225 373185
0 1988 0 0 1788646225 373415
0 2003 94 0 1788646225 374735
0 2004 82 0 1788646225 374821
0 2013 69 0 1788646225 375464
0 2015 68 0 1788646225 375605
0 2017 75 0 1788646225 375753
0 2025 74 0 1788646225 376336
0 2038 0 0 1788646225 377409
0 2039 0 0 1788646225 377488
0 2046 68 0 1788646225 378030
0 2047 69 0 1788646225 378102
0 2051 68 0 1788646225 378376
0 2061 72 0 1788646225 379087
0 2087 84 0 1788646225 381019
0 2090 84 0 1788646225 381274
0 2094 83 0 1788646225 381611
0 2095 82 0 1788646225 381696
0 2101 73 0 1788646225 382166
0 2102 73 0 1788646225 382241
0 2103 73 0 1788646225 382316
0 2104 73 0 1788646225 382392
0 2105 74 0 1788646225 382468
0 2116 73 0 1788646225 383289
0 2124 0 0 1788646225 384035
0 2127 71 0 1788646225 384245
0 2128 71 0 1788646225 384318
0 2144 74 0 1788646225 385503
0 2146 73 0 1788646225 385656
0 2148 75 0 1788646225 385813
0 2153 73 0 1788646225 386177
0 2155 70 0 1788646225 386323
0 2156 73 0 1788646225 386399
0 2160 72 0 1788646225 386692
0 2161 208 0 1788646225 386902
0 2174 67 0 1788646225 387952
0 2179 88 0 1788646225 388768
0 2181 75 0 1788646225 388945
0 2187 71 0 1788646225 389381
0 2192 81 0 1788646225 389752
0 2196 64 0 1788646225 390029
0 2198 64 0 1788646225 390159
0 2207 75 0 1788646225 390766
0 2210 70 0 1788646225 390968
0 2216 73 0 1788646225 391386
0 2217 73 0 1788646225 391461
0 2228 69 0 1788646225 392251
0 2229 71 0 1788646225 392325
0 2232 70 0 1788646225 392542
0 2237 0 0 1788646225 392904
0 2238 0 0 1788646225 392974
0 2250 64 0 1788646225 393819
0 2253 0 0 1788646225 394063
0 2255 0 0 1788646225 394196
0 2257 68 0 1788646225 394332
0 2264 68 0 1788646225 394827
0 2265 67 0 1788646225 394896
0 2276 83 0 1788646225 395724
0 2285 66 0 1788646225 396347
0 2288 67 0 1788646225 396553
0 2289 69 0 1788646225 396625
0 2295 68 0 1788646225 397042
0 2300 69 0 1788646225 397393
0 2304 68 0 1788646225 397669
0 2317 82 0 1788646225 398645
0 2318 84 0 1788646225 398732
0 2340 70 0 1788646225 400336
0 2351 69 0 1788646225 401123
0 2355 81 0 1788646225 401458
0 2356 82 0 1788646225 401542
0 2367 67 0 1788646225 402388
0 2372 69 0 1788646225 402727
0 2373 68 0 1788646225 402798
0 2382 0 0 1788646225 403411
0 2386 0 0 1788646225 403680
0 2394 0 0 1788646225 404217
0 2412 66 0 1788646225 405480
0 2414 65 0 1788646225 405615
0 2416 88 0 1788646225 405783
0 2428 73 0 1788646225 406740
0 2435 68 0 1788646225 407220
0 2437 67 0 1788646225 407376
0 2438 66 0 1788646225 407445
0 2446 67 0 1788646225 407991
0 2448 0 0 1788646225 408147
0 2459 84 0 1788646225 408940
0 2461 56 0 1788646225 409074
0 2465 66 0 1788646225 409564
0 2466 65 0 1788646225 409632
0 2471 0 0 1788646225 410151
0 2473 661 0 1788646225 411348
0 2474 489 0 1788646225 411842
0 2476 78 0 1788646225 412055
0 2478 74 0 1788646225 412208
0 2479 72 0 1788646225 412282
0 2480 71 0 1788646225 412356
0 2481 62 0 1788646225 412420
0 2483 56 0 1788646225 412535
0 2491 79 0 1788646225 413082
0 2492 76 0 1788646225 413162
0 2496 62 0 1788646225 413399
0 2503 75 0 1788646225 413862
0 2508 65 0 1788646225 414221
0 2510 61 0 1788646225 414352
0 2513 50 0 1788646225 414507
0 2514 50 0 1788646225 414559
0 2515 50 0 1788646225 414611
0 2517 50 0 1788646225 414714
0 2521 51 0 1788646225 414940
0 2524 76 0 1788646225 415142
0 2538 54 0 1788646225 416019
0 2539 55 0 1788646225 416077
0 2540 62 0 1788646225 416141
0 2554 0 0 1788646225 417084
0 2568 57 0 1788646225 417935
0 2573 89 0 1788646225 418310
0 2578 67 0 1788646225 418656
0 2582 86 0 1788646225 418953
0 2595 0 0 1788646225 419866
0 2612 67 0 1788646225 421063
0 2628 82 0 1788646225 422608
0 2629 81 0 1788646225 422692
0 2631 0 0 1788646225 422855
0 2643 71 0 1788646225 423741
0 2656 0 0 1788646225 424624
0 2663 80 0 1788646225 425219
0 2664 76 0 1788646225 425298
0 2665 75 0 1788646225 425376
0 2683 79 0 1788646225 426747
0 2684 76 0 1788646225 426826
0 2686 73 0 1788646225 426977
0 2697 0 0 1788646225 427785
0 2710 0 0 1788646225 428645
0 2713 69 0 1788646225 428849
0 2716 71 0 1788646225 429050
0 2718 71 0 1788646225 429196
0 2726 77 0 1788646225 429767
0 2729 76 0 1788646225 429992
0 2730 76 0 1788646225 430072
0 2735 72 0 1788646225 430444
0 2739 79 0 1788646225 430746
0 2741 73 0 1788646225 430895
0 2742 76 0 1788646225 430973
0 2749 67 0 1788646225 431474
0 2759 80 0 1788646225 432166
0 2761 72 0 1788646225 432322
0 2772 0 0 1788646225 433114
0 2773 72 0 1788646225 433188
0 2779 69 0 1788646225 433612
0 2798 0 0 1788646225 434928
0 2806 0 0 1788646225 435490
0 2807 0 0 1788646225 435564
0 2808 0 0 1788646225 435637
0 2814 0 0 1788646225 436090
0 2815 0 0 1788646225 436164
0 2817 0 0 1788646225 436307
0 2823 0 0 1788646225 436729
0 2824 75 0 1788646225 436806
