pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 4
number of threads: 4
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 526832
number of failed transactions: 0 (0.000%)
latency average = 0.076 ms
initial connection time = 12.008 ms
tps = 52737.783606 (without initial connection time)
===LOGS===
0 10 43 0 1788985706 999912
0 16 79 0 1788985707 328
0 19 88 0 1788985707 578
0 27 82 0 1788985707 1203
0 57 54 0 1788985707 3558
0 59 61 0 1788985707 3682
0 68 69 0 1788985707 4373
0 80 54 0 1788985707 5104
0 111 54 0 1788985707 6880
0 114 59 0 1788985707 7056
0 124 49 0 1788985707 8112
0 130 74 0 1788985707 8456
0 138 114 0 1788985707 9174
0 177 50 0 1788985707 11855
0 183 60 0 1788985707 12216
0 195 45 0 1788985707 12979
0 211 0 0 1788985707 14037
0 222 0 0 1788985707 14804
0 287 52 0 1788985707 18955
0 316 78 0 1788985707 20696
0 342 50 0 1788985707 22157
0 355 61 0 1788985707 22910
0 387 48 0 1788985707 24809
0 388 49 0 1788985707 24860
0 417 50 0 1788985707 26370
0 443 55 0 1788985707 27766
0 446 52 0 1788985707 27922
0 448 52 0 1788985707 28027
0 452 54 0 1788985707 28259
0 491 54 0 1788985707 30498
0 558 69 0 1788985707 34104
0 576 76 0 1788985707 35609
0 586 46 0 1788985707 36236
0 603 50 0 1788985707 37147
0 606 57 0 1788985707 37322
0 611 56 0 1788985707 37599
0 613 55 0 1788985707 37725
0 619 57 0 1788985707 38066
0 641 59 0 1788985707 39188
0 647 47 0 1788985707 39524
0 693 63 0 1788985707 42350
0 733 99 0 1788985707 44647
0 749 74 0 1788985707 45845
0 762 69 0 1788985707 46860
0 769 62 0 1788985707 47270
0 796 88 0 1788985707 48873
0 808 68 0 1788985707 49602
0 810 80 0 1788985707 49760
0 814 60 0 1788985707 50044
0 858 51 0 1788985707 52554
0 875 52 0 1788985707 53456
0 878 65 0 1788985707 53626
0 905 52 0 1788985707 55173
0 945 65 0 1788985707 57489
0 954 53 0 1788985707 58042
0 995 84 0 1788985707 60343
0 1018 57 0 1788985707 61820
0 1076 81 0 1788985707 65090
0 1096 42 0 1788985707 66382
0 1111 41 0 1788985707 67056
0 1113 48 0 1788985707 67149
0 1127 66 0 1788985707 68022
0 1165 45 0 1788985707 70294
0 1167 44 0 1788985707 70385
0 1176 53 0 1788985707 70844
0 1186 54 0 1788985707 71434
0 1191 106 0 1788985707 71799
0 1196 54 0 1788985707 72107
0 1207 51 0 1788985707 72763
0 1281 61 0 1788985707 77247
0 1286 68 0 1788985707 77542
0 1291 59 0 1788985707 77856
0 1298 68 0 1788985707 78311
0 1305 57 0 1788985707 78778
0 1353 53 0 1788985707 81970
0 1393 47 0 1788985707 84321
0 1401 52 0 1788985707 84770
0 1414 55 0 1788985707 85515
0 1416 75 0 1788985707 85648
0 1431 46 0 1788985707 86439
0 1484 49 0 1788985707 89247
0 1504 52 0 1788985707 90324
0 1506 56 0 1788985707 90439
0 1534 55 0 1788985707 92161
0 1536 63 0 1788985707 92284
0 1615 64 0 1788985707 97290
0 1629 100 0 1788985707 98736
0 1662 58 0 1788985707 101060
0 1702 52 0 1788985707 103758
0 1705 52 0 1788985707 103919
0 1708 52 0 1788985707 104084
0 1715 49 0 1788985707 104438
0 1734 72 0 1788985707 105556
0 1736 90 0 1788985707 105720
0 1741 82 0 1788985707 106133
0 1742 77 0 1788985707 106213
0 1762 73 0 1788985707 107760
0 1794 90 0 1788985707 110317
0 1833 126 0 1788985707 112940
0 1846 67 0 1788985707 114081
0 1860 56 0 1788985707 114918
0 1882 53 0 1788985707 116047
0 1886 56 0 1788985707 116267
0 1916 62 0 1788985707 118341
0 1919 59 0 1788985707 118544
0 1921 99 0 1788985707 118702
0 1922 61 0 1788985707 118766
0 1934 58 0 1788985707 119404
0 1975 50 0 1788985707 121719
0 2009 52 0 1788985707 123557
0 2028 51 0 1788985707 124730
0 2083 57 0 1788985707 127503
0 2087 65 0 1788985707 127771
0 2146 59 0 1788985707 131300
0 2152 93 0 1788985707 131690
0 2195 60 0 1788985707 134154
0 2218 78 0 1788985707 135641
0 2228 48 0 1788985707 136156
0 2239 50 0 1788985707 136709
0 2278 63 0 1788985707 138946
0 2284 43 0 1788985707 139231
0 2310 0 0 1788985707 140679
0 2331 60 0 1788985707 142397
0 2351 47 0 1788985707 143533
0 2357 44 0 1788985707 143813
0 2369 72 0 1788985707 144567
0 2382 183 0 1788985707 145726
0 2388 0 0 1788985707 146371
0 2396 77 0 1788985707 147046
0 2414 55 0 1788985707 148158
0 2448 62 0 1788985707 150414
0 2451 61 0 1788985707 150594
0 2453 70 0 1788985707 150751
0 2469 59 0 1788985707 151687
0 2490 53 0 1788985707 153007
0 2495 66 0 1788985707 153333
0 2503 54 0 1788985707 153752
0 2506 55 0 1788985707 153918
0 2512 47 0 1788985707 154230
0 2516 50 0 1788985707 154430
0 2519 50 0 1788985707 154590
0 2535 42 0 1788985707 155370
0 2571 84 0 1788985707 157781
0 2574 60 0 1788985707 157972
0 2611 68 0 1788985707 160230
0 2633 49 0 1788985707 161759
0 2673 79 0 1788985707 163944
0 2684 51 0 1788985707 164524
0 2700 41 0 1788985707 165330
0 2701 42 0 1788985707 165373
0 2718 42 0 1788985707 166093
0 2747 93 0 1788985707 167690
0 2768 61 0 1788985707 168911
0 2771 45 0 1788985707 169056
0 2775 51 0 1788985707 169281
0 2777 43 0 1788985707 169378
0 2868 0 0 1788985707 174402
0 2882 74 0 1788985707 175395
0 2895 74 0 1788985707 176329
0 2911 58 0 1788985707 177225
0 2925 59 0 1788985707 178203
0 2938 81 0 1788985707 179091
0 2953 63 0 1788985707 180294
0 2971 59 0 1788985707 181348
0 2995 58 0 1788985707 182740
0 3051 49 0 1788985707 186048
0 3053 53 0 1788985707 186158
0 3077 66 0 1788985707 187708
0 3097 51 0 1788985707 188987
0 3100 65 0 1788985707 189174
0 3145 82 0 1788985707 192741
0 3171 54 0 1788985707 194388
0 3174 59 0 1788985707 194563
0 3177 56 0 1788985707 194742
0 3184 52 0 1788985707 195146
0 3197 55 0 1788985707 195885
0 3199 57 0 1788985707 196007
0 3280 52 0 1788985707 200438
