offered_per_s,achieved_enqueue_per_s,achieved_complete_per_s,p50_ms,p99_ms,p999_ms,window_completed,drained
250,249.9,249.9,1.862,3.437,5.000,15000,true
500,499.8,499.8,1.840,3.631,5.206,30000,true
1000,999.6,999.6,1.902,3.896,4.958,60000,true
2000,1999.0,1999.0,2.184,5.816,9.300,120000,true
4000,3998.3,3998.3,2.700,20.503,153.387,239998,true
3000,2399.0,1449.6,3.042,21067.968,29191.683,87056,true
2500,2498.1,2497.8,3.313,26.804,44.221,149981,true
2250,2246.5,2203.7,2.947,498.847,1079.746,132320,true
