t_secs,rel_size_bytes,dead_tup,queue_depth
0,8192,0,2
30,1056768,33017,1
60,1671168,11015,0
90,1671168,44036,0
120,1933312,11080,0
150,1933312,43976,3
180,385024,10881,2
210,1359872,43883,0
240,1974272,10754,2
270,1974272,43657,0
300,1974272,10740,0
