offered_per_s,achieved_enqueue_per_s,achieved_complete_per_s,p50_ms,p99_ms,p999_ms,window_completed,drained
250,249.9,249.9,1.950,3.760,6.294,15000,true
500,499.7,499.7,1.791,3.708,4.752,30000,true
1000,999.6,999.6,1.944,3.942,5.202,60000,true
2000,1999.3,1999.3,2.037,5.644,12.621,120000,true
4000,3997.3,3997.3,2.813,108.574,296.436,239994,true
3000,2998.3,2998.3,3.663,12.774,21.396,180000,true
2500,2498.6,2498.6,2.331,6.090,20.701,150000,true
2750,2748.1,2747.8,2.557,21.311,30.609,164967,true
