offered_per_s,achieved_enqueue_per_s,achieved_complete_per_s,p50_ms,p99_ms,p999_ms,window_completed,drained
250,249.9,249.9,1.990,4.672,7.289,15000,true
500,499.7,499.7,2.048,6.937,10.073,30000,true
1000,999.4,999.3,2.146,15.294,23.499,59992,true
750,749.6,749.6,2.158,11.704,18.630,44997,true
625,624.7,624.7,2.101,9.101,13.794,37503,true
688,687.2,687.2,2.091,9.638,15.669,41253,true
