t_secs,rel_size_bytes,dead_tup,pending,total
0,16384,0,100,100
5,475136,801,300,1101
10,999424,1804,299,2103
15,1507328,2806,298,3104
20,2031616,3809,296,4105
25,2547712,4812,295,5107
30,3063808,5815,293,6108
35,3579904,6818,291,7109
40,3989504,0,289,8111
45,3989504,1002,289,9113
50,3989504,2004,288,10114
55,3989504,3007,286,11115
60,4251648,4009,286,12117
65,4767744,5012,285,13119
70,5283840,6015,283,14120
75,5799936,7017,282,15121
80,6316032,8019,282,16123
85,6832128,9022,281,17125
90,7348224,10025,279,18126
95,7864320,11027,278,19127
100,8273920,201,277,20129
105,8273920,1203,277,21131
110,8273920,2205,277,22133
115,8273920,3208,275,23134
120,8273920,4210,275,24136
125,8273920,5212,275,25138
130,8445952,6214,275,26140
135,8970240,7217,274,27142
140,9486336,8219,273,28143
145,10002432,9221,273,29145
150,10518528,10224,272,30147
155,11034624,11226,272,31149
160,11436032,200,271,32150
165,11436032,1203,270,33152
170,11436032,2206,269,34154
175,11436032,3208,269,35156
180,11436032,4210,268,36157
185,11436032,5212,268,37159
190,11649024,6214,267,38160
195,12156928,7218,265,39162
200,12681216,8220,265,40164
205,13189120,9222,264,41165
210,13713408,10225,263,42167
215,14221312,11229,261,43169
220,14630912,201,261,44171
225,14630912,1203,262,45174
230,14630912,2206,260,46175
235,14630912,3208,260,47177
240,14630912,4211,259,48179
245,14630912,5215,256,49180
250,14811136,6218,255,50182
255,15327232,7221,254,51184
260,15843328,8223,254,52186
265,16359424,9227,252,53188
270,16875520,10230,251,54190
275,17391616,11232,250,55191
280,17784832,201,249,56193
285,17784832,1203,250,57196
290,17784832,2205,249,58197
295,17784832,3207,249,59199
300,17784832,4209,249,60201
305,17784832,5212,247,61202
310,18006016,6214,247,62204
315,18513920,7216,247,63206
320,19038208,8218,247,64208
325,19546112,9221,246,65210
330,20070400,10225,244,66212
335,20578304,11226,245,67214
340,20979712,200,243,68216
345,20979712,1203,242,69218
350,20979712,2206,242,70221
355,20979712,3208,241,71222
360,20979712,4211,240,72224
365,20979712,5215,239,73227
370,21184512,6217,239,74229
375,21700608,7220,238,75231
380,22208512,8222,237,76232
385,22724608,9224,237,77234
390,23248896,10227,236,78236
395,23756800,11229,236,79238
400,24281088,12231,237,80241
405,24797184,13233,237,81243
410,25321472,14237,235,82245
415,25829376,15239,235,83247
420,26353664,16241,234,84248
425,26861568,17245,232,85250
430,27385856,18249,230,86252
435,27893760,19252,229,87254
440,28409856,20255,228,88256
445,28925952,21257,228,89258
450,29442048,22259,228,90260
455,29966336,23262,227,91262
460,30343168,401,226,92264
465,30343168,1403,227,93267
470,30343168,2405,229,94271
475,30343168,3407,231,95275
480,30343168,4410,229,96276
485,30343168,5414,228,97279
490,30343168,6417,227,98281
495,30343168,7419,228,99284
500,30343168,8421,228,100286
505,30343168,9424,227,101288
510,30343168,10427,226,102290
515,30343168,11430,225,103292
520,30695424,12233,224,104294
525,31219712,13235,224,105296
530,31727616,14237,224,106298
536,32251904,15240,223,107300
541,32759808,16242,223,108302
546,33284096,17244,224,109305
551,33792000,18247,223,110307
556,34316288,19249,222,111308
561,34824192,20251,222,112310
566,35348480,21254,222,113313
571,35856384,22256,222,114315
576,36380672,23258,222,115317
581,36700160,200,222,116320
586,36700160,1202,222,117322
591,36700160,2204,223,118325
596,36700160,3206,223,119327
601,36700160,9209,222,1225
606,36700160,10211,222,2227
611,36700160,125317,222,3229
616,36700160,126319,222,4231
621,36700160,127321,223,5234
