t_secs,queue_depth
0,0
2,0
4,1
6,0
8,2
10,0
12,0
14,4
16,0
18,0
20,1
22,1
24,6
26,1
28,1
30,12
32,4823
34,8980
36,13031
38,16786
40,20706
42,24506
44,28173
46,31923
48,35538
50,39148
52,40544
54,39938
56,39571
58,39395
60,39778
62,39950
64,40467
66,41164
68,42012
70,42993
72,44063
74,45096
76,46210
78,47712
80,49144
82,50660
84,52085
86,53662
88,55342
90,55676
92,51934
94,48201
96,44734
98,41296
100,38025
102,34785
104,31581
106,28570
108,25537
110,23046
112,13823
114,2819
116,3
118,0
120,0
