offered_per_s,achieved_enqueue_per_s,achieved_complete_per_s,p50_ms,p99_ms,p999_ms,window_completed,drained
250,249.8,249.8,2.039,3.646,6.113,15000,true
500,499.7,499.7,1.852,3.602,5.503,30000,true
1000,999.4,999.3,4.638,18.453,26.161,59997,true
750,749.5,552.4,10.757,14388.856,15649.416,33162,true
625,624.7,624.7,1.938,3.917,6.104,37504,true
688,687.2,687.2,1.947,4.501,6.916,41254,true
