path,n_flows,events,app_p50_ms,app_p99_ms,last_run_p50_ms,last_run_p99_ms,runs_total
old-outbox,1,24,0.728,1.672,24.0,50.4,24
new-cdc,1,24,0.366,0.993,152.1,349.8,24
old-outbox,5,24,1.269,5.880,29.0,54.0,120
new-cdc,5,24,0.759,4.186,203.7,352.1,120
old-outbox,20,24,1.059,1.634,41.2,129.2,480
new-cdc,20,24,0.650,1.364,313.9,571.2,480
