offered_per_s,achieved_enqueue_per_s,achieved_complete_per_s,p50_ms,p99_ms,p999_ms,window_completed,drained
250,249.9,249.9,1.816,3.691,6.076,15000,true
500,499.8,499.8,1.762,3.674,4.848,30000,true
1000,999.4,999.4,1.889,3.904,4.926,60000,true
2000,1999.0,1998.9,1.761,5.262,8.035,119999,true
4000,3997.3,3997.3,2.194,139.816,168.892,239991,true
3000,2997.9,2969.6,2.093,85.059,505.658,178279,true
2500,2497.4,2415.0,1.978,176.496,1627.097,144980,true
2250,2240.7,1900.1,1.923,2614.589,8283.967,114076,true
