path,rate_target,n,p50_ms,p90_ms,p99_ms,mean_ms
old-outbox,10,120,25.5,45.4,49.6,24.6
new-cdc,10,120,184.3,290.3,385.2,208.9
old-outbox,50,600,26.6,47.8,53.0,26.4
new-cdc,50,600,157.0,238.6,310.8,158.0
