offered_per_s,achieved_enqueue_per_s,achieved_complete_per_s,p50_ms,p99_ms,p999_ms,window_completed,drained
250,249.9,249.9,1.891,3.623,5.670,15000,true
500,499.8,499.8,3.591,17.646,23.839,30000,true
375,374.8,374.8,1.818,3.480,4.252,22504,true
438,437.4,437.4,1.812,3.477,4.907,26256,true
