offered_per_s,achieved_enqueue_per_s,achieved_complete_per_s,p50_ms,p99_ms,p999_ms,window_completed,drained
250,249.9,249.9,1.926,4.050,5.840,15000,true
500,499.7,499.7,1.836,3.670,4.695,30000,true
1000,999.5,999.3,4.033,24.868,33.696,59988,true
750,749.6,749.1,6.309,77.287,107.762,44971,true
625,624.7,624.6,3.393,15.490,20.638,37501,true
562,562.2,562.2,1.936,3.719,6.246,33752,true
