pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 1
number of threads: 1
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 266776
number of failed transactions: 0 (0.000%)
latency average = 0.037 ms
initial connection time = 6.456 ms
tps = 26693.656234 (without initial connection time)
===LOGS===
0 22 30 0 1788864610 839764
0 46 29 0 1788864610 840443
0 62 33 0 1788864610 840976
0 80 33 0 1788864610 841584
0 106 34 0 1788864610 842484
0 109 34 0 1788864610 842590
0 118 25 0 1788864610 842881
0 138 26 0 1788864610 843394
0 140 29 0 1788864610 843453
0 214 35 0 1788864610 845678
0 250 38 0 1788864610 847062
0 254 36 0 1788864610 847215
0 259 35 0 1788864610 847394
0 284 37 0 1788864610 848441
0 308 44 0 1788864610 849729
0 320 44 0 1788864610 850321
0 357 45 0 1788864610 852290
0 379 36 0 1788864610 853224
0 396 39 0 1788864610 853841
0 438 27 0 1788864610 855295
0 462 27 0 1788864610 855976
0 464 28 0 1788864610 856036
0 472 27 0 1788864610 856258
0 476 27 0 1788864610 856366
0 486 30 0 1788864610 856778
0 510 51 0 1788864610 857879
0 554 50 0 1788864610 860448
0 575 51 0 1788864610 861567
0 590 35 0 1788864610 862176
0 602 38 0 1788864610 862602
0 604 74 0 1788864610 862724
0 605 60 0 1788864610 862789
0 611 49 0 1788864610 863072
0 615 49 0 1788864610 863291
0 621 37 0 1788864610 863550
0 647 36 0 1788864610 864731
0 663 71 0 1788864610 865536
0 698 93 0 1788864610 867770
0 708 61 0 1788864610 868425
0 730 68 0 1788864610 870113
0 738 61 0 1788864610 870623
0 739 69 0 1788864610 870698
0 749 74 0 1788864610 871370
0 769 35 0 1788864610 872486
0 776 53 0 1788864610 872788
0 779 44 0 1788864610 872925
0 781 51 0 1788864610 873026
0 813 30 0 1788864610 874316
0 838 34 0 1788864610 875174
0 840 30 0 1788864610 875239
0 853 36 0 1788864610 875641
0 880 30 0 1788864610 876467
0 910 27 0 1788864610 877308
0 927 25 0 1788864610 877774
0 930 25 0 1788864610 877848
0 948 26 0 1788864610 878383
0 973 38 0 1788864610 879186
0 1037 35 0 1788864610 882024
0 1060 41 0 1788864610 883020
