pgbench (18.6 (Debian 18.6-1.pgdg13+2))
transaction type: /tmp/bench.sql
scaling factor: 1
query mode: prepared
number of clients: 1
number of threads: 1
maximum number of tries: 1
duration: 10 s
number of transactions actually processed: 260035
number of failed transactions: 0 (0.000%)
latency average = 0.038 ms
initial connection time = 7.502 ms
tps = 26022.762048 (without initial connection time)
===LOGS===
0 28 32 0 1788977502 368975
0 30 39 0 1788977502 369060
0 48 94 0 1788977502 370130
0 89 32 0 1788977502 372060
0 92 32 0 1788977502 372161
0 98 35 0 1788977502 372359
0 126 40 0 1788977502 373470
0 143 30 0 1788977502 374157
0 151 30 0 1788977502 374418
0 168 32 0 1788977502 374989
0 174 31 0 1788977502 375180
0 217 48 0 1788977502 377164
0 290 33 0 1788977502 380787
0 315 33 0 1788977502 382016
0 344 31 0 1788977502 383183
0 362 60 0 1788977502 384211
0 392 39 0 1788977502 385424
0 457 46 0 1788977502 388877
0 474 53 0 1788977502 389698
0 492 54 0 1788977502 390567
0 497 49 0 1788977502 390836
0 501 46 0 1788977502 391041
0 511 48 0 1788977502 391525
0 518 39 0 1788977502 391890
0 542 38 0 1788977502 392923
0 587 44 0 1788977502 395028
0 599 41 0 1788977502 395552
0 603 49 0 1788977502 395742
0 605 48 0 1788977502 395839
0 620 49 0 1788977502 396670
0 622 40 0 1788977502 396759
0 628 38 0 1788977502 396987
0 647 40 0 1788977502 397791
0 661 34 0 1788977502 398289
0 711 37 0 1788977502 400497
0 714 56 0 1788977502 400635
0 732 40 0 1788977502 401312
0 760 45 0 1788977502 402370
0 801 50 0 1788977502 404328
0 803 53 0 1788977502 404433
0 811 45 0 1788977502 404860
0 812 45 0 1788977502 404906
0 820 41 0 1788977502 405255
0 821 42 0 1788977502 405299
0 822 46 0 1788977502 405345
0 828 52 0 1788977502 405687
0 835 46 0 1788977502 406015
0 836 47 0 1788977502 406063
0 837 46 0 1788977502 406110
0 849 53 0 1788977502 406746
0 865 53 0 1788977502 407607
0 899 62 0 1788977502 409311
0 926 52 0 1788977502 410755
0 998 53 0 1788977502 414244
0 1002 50 0 1788977502 414443
0 1106 76 0 1788977502 419673
0 1110 55 0 1788977502 419911
0 1149 32 0 1788977502 421929
0 1152 66 0 1788977502 422064
0 1172 32 0 1788977502 422874
0 1183 39 0 1788977502 423278
0 1203 53 0 1788977502 424447
0 1231 77 0 1788977502 426846
0 1250 48 0 1788977502 428079
0 1266 34 0 1788977502 428836
0 1278 32 0 1788977502 429318
0 1280 32 0 1788977502 429385
0 1282 34 0 1788977502 429452
0 1306 64 0 1788977502 431056
0 1317 61 0 1788977502 431600
0 1388 33 0 1788977502 434782
0 1434 32 0 1788977502 436317
0 1437 30 0 1788977502 436412
0 1451 31 0 1788977502 436880
0 1481 31 0 1788977502 437933
0 1484 31 0 1788977502 438028
0 1509 31 0 1788977502 438856
0 1518 30 0 1788977502 439158
0 1525 45 0 1788977502 439393
0 1579 52 0 1788977502 441491
0 1591 44 0 1788977502 442220
0 1616 120 0 1788977502 443432
0 1617 100 0 1788977502 443536
0 1645 61 0 1788977502 445407
0 1660 61 0 1788977502 446472
0 1686 36 0 1788977502 448037
0 1690 36 0 1788977502 448181
0 1757 36 0 1788977502 450584
0 1767 40 0 1788977502 451056
0 1799 38 0 1788977502 452377
